,preco_1,preco_2,endereco_1,endereco_2,descricao,attr1,attr2,attr3,attr4,attr5
0,R$ 1.700,"R$ 1.919,29/mês",Jardim Santa Genebra II (Barão Geraldo),"Casa no centro de Barão Geraldo; 2 dormitórios, um com armário embutido, sala, cozinha, banheiro; na parte dos fundos, uma área grande e toda coberta na parte da frente, um jardim e vaga de garagem para 2 carros. 
A entrada é compartilhada com a casa dos fundos.

iptu 70% do valor.
Energia individual.
água individual.",Casa em Campinas,2quartos,1banheiro ,2vagas,90m²,not found
1,R$ 850,R$ 1.045/mês,Cidade Universitária,"Kitnet modelo estudio, bem localizada

Na Av. 03 - próximo a Unicamp

Possui guarda roupa, cama (sem colchão),
Cozinha americana com gabinete na pia, geladeira e fogão
Banheiro grande com box de vidro
Lavanderia coletiva
Bicicletário

Condomínio inclui: água, gás, IPTU, limpeza e manutenção das áreas externas.
Luz individual.

Internet cortesia!

Garagem: consultar disponibilidade e valores.

Agende uma visita!",Kitnet em Campinas,1quarto,1banheiro ,22m²,not found,not found
2,R$ 1.100,"R$ 1.193,24/mês",Jardim Santa Genebra II (Barão Geraldo),"Casa 01 dorm - atrás do Dalben/perto Terminal Ônibus de Barão Geraldo

Casa de frente com 1 dormitório com armário embutido;
Cozinha com gabinete
Banheiro social;
Não tem sala
Pequeno quintal gramado;
Possibilidade de mobilia (cama, geladeira, fogão, mesa)
Sem Vaga para Carros, apenas moto;",Casa em Campinas,1quarto,1banheiro ,20m²,not found,not found
3,R$ 2.500,"R$ 2.714,74/mês",Vila São João,"Vila São João - Barão Geraldo - Campinas SP

Localizado próximo ao Centro de Barão Geraldo, praça do Coco, com ruas de terra, o bairro tem uma transição entre o ambiente rural da Fazenda Rio das Pedras e as áreas já urbanizadas ao seu redor.
Casa térrea de 3 dormitórios.
Sala social, banheiro, cozinha com gabinete.
Área de serviço coberta.",Casa em Campinas,3quartos,1banheiro ,3vagas,80m²,not found
4,R$ 1.000.000,R$ 4.981/mês,Cidade Universitária,"Cidade Universitária I - Barão Geraldo - Campinas SP

Localizada próximo a Unicamp, próximo a Av 2 - Atílio Martini
Casa com 5 dormitórios, sendo 3 com armários na casa e 2 cômodos na Edícula,
Sala grande com lareira, pé direito alto, cozinha com armários.
Lavanderia coberta,
Quintal com gramado e churrasqueira.",Casa em Campinas,5quartos,1suíte,3banheiros,4vagas,200m²
5,R$ 1.350,R$ 1.520/mês,Cidade Universitária,"Cidade Universitária 01 - em frente a Unicamp - (Roxo Moreira) - kitnet mobiliada
Kitnet 1º andar com divisória da cozinha para o dormitório;
Cozinha com gabinete, geladeira, fogão 4 bocas com forno, micro-ondas;
Banheiro com box de vidro, gabinete pia de cozinha, espelho;
Dormitório com ar-condicionado, guarda roupas, cama solteiro sem colchão; TV 14 polegadas (antena digital - sinal aberto);

Rateio/Condomínio: valor por pessoa, por mes - inclui: gás; IPTU; vigilância patrimonial; água; faxina, jardinagem e manutenções de áreas externas.
Energia elétrica: medidor individual.
Vagas de garagem locado a parte, conforme disponibilidade. Possibilidade de vaga de garagem coberta no prédio - Consulte opções e valores.",Kitnet em Campinas,1quarto,1banheiro ,24m²,not found,not found
6,R$ 1.950,"R$ 2.173,60/mês",Residencial Terra Nova,"Terra Nova - Barrão Geraldo
Casa com 3 dormitórios (1 suíte) com armários, sala de estar
e jantar, cozinha, banheiro social, área de serviço, 2 vagas
de garagens.
Portão eletrônico.
IPTU: 70% do total, Valor por mes. 
Energia e água: individuais",Casa em Campinas,3quartos,1suíte,2banheiros,3vagas,80m²
7,R$ 2.200,"R$ 2.458,29/mês",Vila Santa Isabel,"Imóvel térreo localizado na Vila Santa Isabel

Imóvel possui uma sala de estar, sala de jantar, cozinha com armários, 03 dormitórios (sendo 01 suite), banheiro social.

Área gourmet com fogão a lenha, amplo quintal com arvore frutífera e uma pequena horta.",Casa em Campinas,3quartos,1suíte,2banheiros,2vagas,111m²
8,R$ 1.200,R$ 1.420/mês,Cidade Universitária,"Cidade Universitária 01

Apartamento térreo todo em piso frio com 35m² de área construída. 
Localizado Av. Dr. Romeu Tórtima (próxímo Padaria Alemã);

1 dormitório amplo com armário embutido, sala, cozinha com gabinete, banheiro com box de vidro; 
1 vaga de garagem portão manual.
Rateio valor por mes, por apartamento, inclui: IPTU, internet e água. e manutenção de áreas comuns. 
Energia elétrica e gás (botijão): individuais, por conta locatários.",Apartamento em Campinas,1quarto,1banheiro ,1vaga,35m²,not found
9,R$ 900.000,R$ 6.039/mês,Cidade Universitária II,"Imóvel com amplo jardim, piscina, forno, churrasqueira, pomar. 
Sala de estar, sala de jantar, lavabo, cozinha com armários planejados, lavandeira externa e coberta. 
São 4 dormitórios na parte interna da casa, todos com armários, sendo 1 suite; Mezanino bem grande, com estante.
Parte externa, há 2 dormitórios, 1 banheiro, e 1 vestiário. 
Portao eletrônico.",Casa em Campinas,4quartos,2suítes,4banheiros,6vagas,350m²
